Country,RMSE_LSTM,RMSE_Transformer,Better Model
Vietnam,0.3323339221613419,0.6210998885197865,LSTM
Thailand,1.4843853776540503,0.6136732700718461,Transformer
India,0.2232472298872321,0.5750918226459958,LSTM
Philippines,0.1071423701528599,0.5145099847024845,LSTM
Indonesia,0.1152043799453365,0.6175585186960648,LSTM
Malaysia,1.447209824367026,0.6775995380015044,Transformer
Japan,0.1373893817839797,0.5807111237630879,LSTM
"Korea, South",0.0289782476107585,0.6640060351781744,LSTM
Bangladesh,0.8297588109902455,0.7565808015583577,Transformer
Pakistan,2.9194371682960503,0.6427497897982805,Transformer
